request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
59,pilot,A,fpb-full-001224,fpb,upstage,solar-pro3,1,success,200,,,201,0,201,3,204,404.04,3.195e-05,2026-07-21T02:37:59.752963+00:00,2026-07-21T02:38:00.156972+00:00
60,pilot,A,fpb-full-001262,fpb,upstage,solar-pro3,1,success,200,,,149,0,149,3,152,395.08,2.415e-05,2026-07-21T02:38:00.470394+00:00,2026-07-21T02:38:00.865003+00:00
61,pilot,A,fpb-full-001273,fpb,upstage,solar-pro3,1,success,200,,,151,0,151,3,154,396.09,2.445e-05,2026-07-21T02:38:01.178749+00:00,2026-07-21T02:38:01.574138+00:00
62,pilot,A,fpb-full-001290,fpb,upstage,solar-pro3,1,success,200,,,158,0,158,3,161,491.94,2.55e-05,2026-07-21T02:38:01.908380+00:00,2026-07-21T02:38:02.399498+00:00
63,pilot,A,fpb-full-001372,fpb,upstage,solar-pro3,1,success,200,,,151,0,151,3,154,402.82,2.445e-05,2026-07-21T02:38:02.714090+00:00,2026-07-21T02:38:03.117156+00:00
64,pilot,A,fpb-full-001401,fpb,upstage,solar-pro3,1,success,200,,,143,0,143,3,146,397.53,2.325e-05,2026-07-21T02:38:03.430477+00:00,2026-07-21T02:38:03.827367+00:00
65,pilot,A,fpb-full-001435,fpb,upstage,solar-pro3,1,success,200,,,146,0,146,3,149,393.3,2.37e-05,2026-07-21T02:38:04.140954+00:00,2026-07-21T02:38:04.535044+00:00
66,pilot,A,fpb-full-001439,fpb,upstage,solar-pro3,1,success,200,,,160,0,160,3,163,380.04,2.58e-05,2026-07-21T02:38:04.848169+00:00,2026-07-21T02:38:05.227979+00:00
67,pilot,A,fpb-full-001477,fpb,upstage,solar-pro3,1,success,200,,,154,0,154,3,157,393.68,2.49e-05,2026-07-21T02:38:05.541124+00:00,2026-07-21T02:38:05.934655+00:00
68,pilot,A,fpb-full-001493,fpb,upstage,solar-pro3,1,success,200,,,145,0,145,3,148,392.59,2.355e-05,2026-07-21T02:38:06.247751+00:00,2026-07-21T02:38:06.640088+00:00
69,pilot,A,fpb-full-001547,fpb,upstage,solar-pro3,1,success,200,,,157,0,157,3,160,403.91,2.535e-05,2026-07-21T02:38:06.954918+00:00,2026-07-21T02:38:07.358566+00:00
70,pilot,A,fpb-full-001559,fpb,upstage,solar-pro3,1,success,200,,,168,0,168,3,171,413.22,2.7e-05,2026-07-21T02:38:07.671762+00:00,2026-07-21T02:38:08.085391+00:00
71,pilot,A,fpb-full-001575,fpb,upstage,solar-pro3,1,success,200,,,164,0,164,3,167,403.84,2.64e-05,2026-07-21T02:38:08.398082+00:00,2026-07-21T02:38:08.802251+00:00
72,pilot,A,fpb-full-001613,fpb,upstage,solar-pro3,1,success,200,,,193,0,193,3,196,412.32,3.075e-05,2026-07-21T02:38:09.114945+00:00,2026-07-21T02:38:09.527683+00:00
73,pilot,A,fpb-full-001664,fpb,upstage,solar-pro3,1,success,200,,,178,0,178,3,181,399.48,2.85e-05,2026-07-21T02:38:09.840332+00:00,2026-07-21T02:38:10.239428+00:00
74,pilot,A,fpb-full-001667,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,969.0,2.505e-05,2026-07-21T02:38:10.553055+00:00,2026-07-21T02:38:11.521575+00:00
75,pilot,A,fpb-full-001701,fpb,upstage,solar-pro3,1,success,200,,,162,0,162,3,165,397.73,2.61e-05,2026-07-21T02:38:11.834878+00:00,2026-07-21T02:38:12.232790+00:00
76,pilot,A,fpb-full-001794,fpb,upstage,solar-pro3,1,success,200,,,174,0,174,3,177,414.48,2.79e-05,2026-07-21T02:38:12.545434+00:00,2026-07-21T02:38:12.959355+00:00
77,pilot,A,fpb-full-001799,fpb,upstage,solar-pro3,1,success,200,,,146,0,146,3,149,394.1,2.37e-05,2026-07-21T02:38:13.273217+00:00,2026-07-21T02:38:13.667815+00:00
78,pilot,A,fpb-full-001862,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,396.69,2.475e-05,2026-07-21T02:38:13.980960+00:00,2026-07-21T02:38:14.377252+00:00
79,pilot,A,fpb-full-001869,fpb,upstage,solar-pro3,1,success,200,,,169,0,169,3,172,411.01,2.715e-05,2026-07-21T02:38:14.716374+00:00,2026-07-21T02:38:15.127974+00:00
80,pilot,A,fpb-full-001870,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,403.99,2.67e-05,2026-07-21T02:38:15.440689+00:00,2026-07-21T02:38:15.845514+00:00
81,pilot,A,fpb-full-001954,fpb,upstage,solar-pro3,1,success,200,,,189,0,189,3,192,413.39,3.015e-05,2026-07-21T02:38:16.158588+00:00,2026-07-21T02:38:16.571369+00:00
82,pilot,A,fpb-full-001989,fpb,upstage,solar-pro3,1,success,200,,,164,0,164,3,167,955.38,2.64e-05,2026-07-21T02:38:16.885197+00:00,2026-07-21T02:38:17.840174+00:00
83,pilot,A,fpb-full-001990,fpb,upstage,solar-pro3,1,success,200,,,155,0,155,3,158,402.39,2.505e-05,2026-07-21T02:38:18.154096+00:00,2026-07-21T02:38:18.556044+00:00
84,pilot,A,fpb-full-002017,fpb,upstage,solar-pro3,1,success,200,,,162,0,162,3,165,380.38,2.61e-05,2026-07-21T02:38:18.869920+00:00,2026-07-21T02:38:19.250172+00:00
85,pilot,A,fpb-full-002018,fpb,upstage,solar-pro3,1,success,200,,,161,0,161,3,164,398.07,2.595e-05,2026-07-21T02:38:19.565115+00:00,2026-07-21T02:38:19.962732+00:00
86,pilot,A,fpb-full-002042,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,399.88,2.655e-05,2026-07-21T02:38:20.277395+00:00,2026-07-21T02:38:20.677749+00:00
87,pilot,A,fpb-full-002046,fpb,upstage,solar-pro3,1,success,200,,,153,0,153,3,156,397.27,2.475e-05,2026-07-21T02:38:20.991864+00:00,2026-07-21T02:38:21.389378+00:00
88,pilot,A,fpb-full-002070,fpb,upstage,solar-pro3,1,success,200,,,174,0,174,3,177,394.97,2.79e-05,2026-07-21T02:38:21.703903+00:00,2026-07-21T02:38:22.099035+00:00
